	Train Loss	Test Loss	Test Accuracy	Train Accuracy	first_gradient_norm	first_gradient_norm_wt	first_gradient_norm_wt_scaled	loss_error	loss_error_wt	loss_error_wt_scaled
33	1.1445615604400634	1.1648695232391357	60.83	61.238	4561.522511507521	495.73750727279247	4621.463689430819	47022.3359375	3754.109375	49530.0859375
34	1.0034181189346314	1.0244638671875	64.69	65.41	3270.2243027203326	450.0585475134592	3257.6616649431235	41532.3125	4531.82421875	44410.05859375
35	1.182961302947998	1.1977462558746337	61.14	61.496	5355.118940767611	429.24045772174094	5533.960648232693	47532.359375	3745.1953125	50875.08984375
36	1.2372812874603272	1.2673690544128418	58.96	59.738	5724.737730678231	534.0313190990252	5811.32633781447	50094.9375	5453.26171875	53171.97265625
37	1.2121427389907837	1.2384179569244385	57.86	58.38	5405.7916625653115	310.46428814789766	5524.719020080454	49059.1953125	5338.53515625	52577.3046875
38	1.0804870330047607	1.1184138080596924	63.09	64.014	5301.902490659228	435.86332484234663	5362.483643848357	44190.921875	3719.8203125	46678.484375
39	0.9439044055557251	0.959746868610382	66.32	67.158	2769.745995900871	372.0364125241157	2906.533221988173	38578.17578125	4693.78125	41787.859375
40	1.5783347457504273	1.6134551443099976	54.25	54.968	8654.272026719524	583.3025529116408	8855.941167344949	60405.66796875	6719.97265625	64892.05859375
41	1.9082774464416503	1.9291825595855714	47.67	48.272	11547.037867242525	2780.0957813433606	11904.918408413243	74948.359375	13423.6796875	78852.59375
42	1.3964010991287232	1.4117593212127686	55.5	55.72	6637.475432816145	1219.0274500759742	6851.100038290593	54862.203125	9443.14453125	58936.31640625
